NAME	DESCRIPTION	SMARTA_GITR_KO_1_htsqct	SMARTA_GITR_KO_2_htsqct	SMARTA_GITR_KO_3_htsqct	SMARTA_GITR_WT_1_htsqct	SMARTA_GITR_WT_2_htsqct	SMARTA_GITR_WT_3_htsqct
Tmem165	Tmem165	81.9076535505354	69.6464184910429	74.6077190555285	78.765685079261	74.2021374677752	79.5399221512442
Tmem167	Tmem167	110.666340797168	87.639062788129	103.227560090666	101.580388279551	104.581300825275	104.676692131321
Tmem167b	Tmem167b	50.4551145871298	42.6966232594133	50.1685942040635	49.8384644528067	47.5344556064407	50.8378347964418
Tmem168	Tmem168	52.4694361411134	38.5444745754703	54.5041517278714	56.4067397572379	58.3664830841374	57.3528751790332
Tmem170b	Tmem170b	25.1668849576015	22.2753636943606	30.2972888866103	30.1604478264699	33.6782580207576	32.959948392244
Tmem173	Tmem173	157.238425882643	182.40728652416	147.667024709697	136.566507758256	143.318170663028	137.764889349994
Tmem175	Tmem175	23.8078246320223	29.1172690729332	21.4197187188131	23.4581260872544	22.131426699355	24.3929267867892
Tmem179b	Tmem179b	35.505451005758	50.478637773973	36.6973976122316	33.9137480004306	34.6130015086806	31.6518103626686
Tmem18	Tmem18	29.0741833936419	20.6562868490495	28.387579024933	24.8790182959681	27.0250837831875	22.5461436862121
Tmem181a	Tmem181a	25.6037257765377	31.8853681955618	26.9423931836637	27.7476120003523	31.6163238562214	25.906262938651
Tmem181b-ps	Tmem181b-ps	72.4670380746367	63.0917686817996	70.4786166519019	76.620942122712	88.6356766195285	71.2037484333614
Tmem183a	Tmem183a	61.1091767822958	56.3543198738922	58.55583346143	60.1600399311986	62.2154268579383	64.9452057036279
Tmem184b	Tmem184b	56.182583102071	78.9952815655811	57.8074336507727	63.7524843834182	61.2806833700152	63.7653165004815
Tmem184c	Tmem184c	33.6367430580865	34.8101521741883	32.2844194183556	35.2542123482737	38.929317026443	33.703791585532
Tmem185b	Tmem185b	28.1034260182282	27.65487708362	24.8004213117824	24.9326368698818	25.8429081955201	24.3672770215034
Tmem186	Tmem186	23.3224459443154	26.636425519634	27.5875654342304	26.5143848003367	26.0628478397373	24.8033230313619
Tmem189	Tmem189	55.9641626926029	79.8831624162356	51.7944282754914	53.8866667832929	54.600016676918	51.556028224444
Tmem19	Tmem19	37.8595376411364	40.3724645621119	33.1618536791263	34.6644080352227	38.736869837753	35.3453765638228
Tmem191c	Tmem191c	13.2265692400124	18.070986725085	12.7486036711972	15.2812935654114	15.4782524617849	14.133020672472
Tmem192	Tmem192	30.3604369160651	32.2770803355564	23.5874974807171	25.281157600321	26.4202497615902	25.7267145816504
Tmem194	Tmem194	26.7200967582636	23.502728399677	29.858571756225	32.3588093569326	29.3069575919409	35.8070723389671
Tmem194b	Tmem194b	62.9778847299672	50.478637773973	60.10424686279	66.6478873747593	63.9749440116758	64.9965052341995
Tmem199	Tmem199	20.6528631619276	21.7530808410344	19.2519399569091	21.3133831307054	18.7498546695156	20.2376648104907
Tmem2	Tmem2	66.6424938221542	56.1454067325618	83.9756201337564	67.5325938443357	69.3359728394699	70.0751587607865
Tmem201	Tmem201	18.2745075921639	25.879115382311	20.0003397675664	22.4393731828936	17.7601262705383	22.6230929820694
Tmem208	Tmem208	37.0101249376493	34.3923258915274	34.4521981802596	33.4847994091208	33.1284089102146	33.0368976881014
Tmem209	Tmem209	44.8004528753447	38.8056160021334	44.8265679693715	46.5945407310264	43.163155177624	49.9657427767248
Tmem214	Tmem214	49.5814329492574	65.1025576671053	48.9814772630208	52.2781095658812	51.6308314799859	52.299871417732
Tmem219	Tmem219	13.3964517807098	19.5072645717319	12.4131141009025	12.8148391653801	14.2410919630632	13.132679826326
Tmem222	Tmem222	37.2770832158881	49.4079579246544	33.032819229013	34.610789461309	33.8157202983933	35.3966760943944
Tmem223	Tmem223	21.5265447998	22.5365051210236	18.1164367959118	19.1954494611133	18.447437658717	18.8269277197721
Tmem229b	Tmem229b	154.787263509723	159.165699551146	169.938370799258	164.528594054263	157.064398426602	149.897228330174
Tmem230	Tmem230	24.3902790572705	23.2415869730139	22.6326425498784	22.2517081741956	21.9389795106649	22.2639962680683
Tmem234	Tmem234	144.982614018044	149.399010193947	118.582659654152	112.357721636209	117.750187022779	107.54946584333
Tmem237	Tmem237	9.36780867274272	9.0354933625425	10.4259835691572	10.7773333566586	8.02779701392752	10.3368554101746
Tmem242	Tmem242	39.2671358354863	45.987005235368	43.0200856677849	39.3560332526736	38.3794679159001	40.8087765696967
Tmem243	Tmem243	19.8277193928259	21.6486242703692	16.5680233945518	18.4179801393643	17.5401866263211	16.4158497829075
Tmem245	Tmem245	32.0107244542685	27.4459639422895	35.1747911008943	36.8895788526423	41.1562059241421	38.6541962856901
Tmem248	Tmem248	65.2591645621896	65.2592425231032	63.743018355986	63.9401493921162	62.2154268579383	68.6387719047821
Tmem251	Tmem251	28.1519638869988	23.7377556836738	28.155317014729	27.0505705394739	27.0800686942418	28.625138058945
Tmem256	Tmem256	22.9098740597646	32.3031944782227	24.4133179614424	20.7503881046113	19.4646585132215	20.9045587079213
Tmem258	Tmem258	66.8123763628516	71.6572074763486	65.755955777754	72.2242190617866	62.5178438687369	63.6883672046241
Tmem259	Tmem259	129.960143633516	177.132229705566	108.776041445539	117.237011862358	118.080096489105	106.395226405469
Tmem260	Tmem260	36.0393675622356	30.9974873449074	35.0715635408036	34.4499337395678	34.6679864197349	34.0115887689616
Tmem261	Tmem261	20.2402912773768	22.1970212663616	21.2132635986318	20.6431509567838	19.9595227127102	21.6227521359235
Tmem263	Tmem263	42.4463662399664	27.4198497996232	39.5103486247022	41.0182090439991	40.8812813688706	44.733190658423
Tmem29	Tmem29	17.3037502167501	11.6991359145059	17.2906163151865	17.2919900871761	16.2205487610179	15.4668084673332
Tmem30a	Tmem30a	250.261251381666	154.230126587214	226.610301289034	238.361370333461	248.476813054373	251.649847218915
Tmem33	Tmem33	63.8272974334543	56.2237491605607	59.0719712618834	61.3128392703437	60.0160304157663	67.1254357529203
Tmem39a	Tmem39a	19.4636853770457	19.1677807170699	18.9164503866145	20.6431509567838	19.932030257183	20.9815080037787
Tmem39b	Tmem39b	17.3280191511355	23.2154728303476	17.1615818650731	19.838872348078	19.3546886911129	18.3139324140562
Tmem41b	Tmem41b	31.7194972416444	27.65487708362	30.1166406564517	34.5035523134816	31.7812785893843	36.2944178793971
Tmem42	Tmem42	11.7218953081211	14.5194633224671	10.9421213696105	10.8041426436154	10.5021180113709	9.97775869617349
Tmem43	Tmem43	40.4320446859828	47.083799227353	40.0006795351329	42.5195291135834	39.1217642151331	43.3481033329902
Tmem50a	Tmem50a	251.110664085153	295.037583843946	251.178460590612	244.1789856031	245.562612768495	238.183720443874
Tmem50b	Tmem50b	43.1016274683706	42.5660525460817	35.200597990917	39.6509354091991	41.9259946789023	40.0905831416945
Tmem55b	Tmem55b	24.4388169260412	25.8268870969784	24.8262282018051	26.9165241046896	25.7054459178843	24.3929267867892
Tmem57	Tmem57	27.8364677399894	20.6824009917158	28.697261705205	27.2918541220857	29.142002858778	27.3682995599412
Tmem59	Tmem59	105.642671379402	93.4886307453819	87.4079365067711	88.6046933924294	98.1205737763949	95.2375785061495
Tmem60	Tmem60	14.3672091561235	8.98326507720988	11.6647142902452	11.9033234088468	11.3543841327125	11.901491092608
Tmem62	Tmem62	32.2776827325073	30.3968620635823	29.1875926156357	28.980839200368	33.0734239991603	28.3429906408013
Tmem63a	Tmem63a	46.4022025447774	62.0472029751473	45.5749677800288	43.0020962788069	49.1015255714882	42.3477624868443
Tmem63b	Tmem63b	8.97950572257722	12.8481581918234	10.1421077789079	9.59772473055665	10.7495501111153	7.74622911630949
Tmem64	Tmem64	52.9548148288202	39.8501817087857	43.3297683480569	52.2513002789243	52.015725857366	53.3515117944495
Tmem65	Tmem65	22.6429157815258	21.465825271705	21.2390704886544	27.7476120003523	28.9770481256151	30.2154235066642
Tmem66	Tmem66	347.725291873206	338.726544524678	279.669267175636	345.035523134816	330.816717358184	334.088192847454
Tmem68	Tmem68	26.3317938080981	15.5118007437868	23.2262010203997	24.6109254263994	24.4133005081083	27.6760967433707
Tmem69	Tmem69	17.3280191511355	15.0939744611259	15.9228511439852	16.5949486262977	16.0281015723279	16.2619511911928
Tmem70	Tmem70	31.5010768321763	29.6395519262594	27.6391792142757	29.4902156525484	27.3824857050404	28.4455897019445
Tmem71	Tmem71	161.024379646756	119.446088555692	161.576938431914	154.55553930631	160.775879922768	150.23067527889
Tmem8	Tmem8	28.9528387217152	33.1910753288772	24.1036352811704	24.5304975655289	27.6024253492576	23.546484532358
Tmem80	Tmem80	20.6285942275423	21.805309126367	20.1809879977251	19.8656816350348	21.8565021440835	19.2373239643448
Tmem86b	Tmem86b	11.1637098172582	10.6806843505199	10.2969491190439	11.3403283827527	14.1036296854275	13.5174263056129
Tmem87a	Tmem87a	96.420476312971	76.5144380122819	96.311313564591	96.1381030273076	99.8251060190781	96.5457165357249
Tmem87b	Tmem87b	23.6136731569395	18.6977261490764	24.6197730816237	24.3696418437877	27.5199479826762	24.8802723272192
Tmem9	Tmem9	17.0367919385114	16.4519098797739	16.9809336349145	16.2732371828153	16.055594027855	16.8262460274802
Tmem9b	Tmem9b	73.4135265156651	71.6833216190149	69.1108514807006	72.9480698096219	71.1504749042617	69.767361577357
Tmf1	Tmf1	113.748495464107	81.789494830876	113.034178299279	112.304103062296	111.591876984698	110.832635799912
Tmod3	Tmod3	176.143925768825	137.934901563438	181.035333509005	172.035194402184	168.281320281679	178.624965450263
Tmpo	Tmpo	288.606167710509	206.87623820249	303.61806111667	322.27443850844	271.158088864271	337.83305857918
Tmppe	Tmppe	53.2703109758297	58.1039674325349	58.710674801566	58.0421062616065	58.9438246502075	55.8651887924572
Tmsb10	Tmsb10	1070.04158598419	1415.51710322721	1077.33443088623	1267.14094801609	1078.03416613057	1109.32669884526
Tmsb4x	Tmsb4x	4525.33111909752	4740.13472021753	4606.29760703575	4067.04925921686	3741.36579532313	4171.31872936738
